"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2019 March","Petrol - unleaded per litre","Euro","1.365"
"National Average Price","2019 April","Diesel per litre","Euro","1.354"
"National Average Price","2019 April","Petrol - unleaded per litre","Euro","1.416"
"National Average Price","2019 May","Diesel per litre","Euro","1.375"
"National Average Price","2019 May","Petrol - unleaded per litre","Euro","1.472"
"National Average Price","2019 June","Diesel per litre","Euro","1.365"
"National Average Price","2019 June","Petrol - unleaded per litre","Euro","1.469"
"National Average Price","2019 July","Diesel per litre","Euro","1.319"
"National Average Price","2019 July","Petrol - unleaded per litre","Euro","1.427"
"National Average Price","2019 August","Diesel per litre","Euro","1.328"
"National Average Price","2019 August","Petrol - unleaded per litre","Euro","1.432"
"National Average Price","2019 September","Diesel per litre","Euro","1.326"
"National Average Price","2019 September","Petrol - unleaded per litre","Euro","1.43"
"National Average Price","2019 October","Diesel per litre","Euro","1.351"
"National Average Price","2019 October","Petrol - unleaded per litre","Euro","1.449"
"National Average Price","2019 November","Diesel per litre","Euro","1.343"
"National Average Price","2019 November","Petrol - unleaded per litre","Euro","1.438"
"National Average Price","2019 December","Diesel per litre","Euro","1.354"
"National Average Price","2019 December","Petrol - unleaded per litre","Euro","1.448"
"National Average Price","2020 January","Diesel per litre","Euro","1.383"
"National Average Price","2020 January","Petrol - unleaded per litre","Euro","1.472"
"National Average Price","2020 February","Diesel per litre","Euro","1.357"
"National Average Price","2020 February","Petrol - unleaded per litre","Euro","1.452"
"National Average Price","2020 March","Diesel per litre","Euro","1.323"
"National Average Price","2020 March","Petrol - unleaded per litre","Euro","1.422"
"National Average Price","2020 April","Diesel per litre","Euro","1.261"
"National Average Price","2020 April","Petrol - unleaded per litre","Euro","1.347"
"National Average Price","2020 May","Diesel per litre","Euro","1.233"
"National Average Price","2020 May","Petrol - unleaded per litre","Euro","1.325"
"National Average Price","2020 June","Diesel per litre","Euro","1.238"
"National Average Price","2020 June","Petrol - unleaded per litre","Euro","1.338"
"National Average Price","2020 July","Diesel per litre","Euro","1.263"
"National Average Price","2020 July","Petrol - unleaded per litre","Euro","1.367"
"National Average Price","2020 August","Diesel per litre","Euro","1.267"
"National Average Price","2020 August","Petrol - unleaded per litre","Euro","1.374"
"National Average Price","2020 September","Diesel per litre","Euro","1.254"
"National Average Price","2020 September","Petrol - unleaded per litre","Euro","1.364"
"National Average Price","2020 October","Diesel per litre","Euro","1.244"
"National Average Price","2020 October","Petrol - unleaded per litre","Euro","1.361"
"National Average Price","2020 November","Diesel per litre","Euro","1.253"
"National Average Price","2020 November","Petrol - unleaded per litre","Euro","1.363"
"National Average Price","2020 December","Diesel per litre","Euro","1.181"
"National Average Price","2020 December","Petrol - unleaded per litre","Euro","1.283"
"National Average Price","2021 January","Diesel per litre","Euro","1.214"
"National Average Price","2021 January","Petrol - unleaded per litre","Euro","1.314"
"National Average Price","2021 February","Diesel per litre","Euro","1.251"
"National Average Price","2021 February","Petrol - unleaded per litre","Euro","1.346"
"National Average Price","2021 March","Diesel per litre","Euro","1.332"
"National Average Price","2021 March","Petrol - unleaded per litre","Euro","1.429"
"National Average Price","2021 April","Diesel per litre","Euro","1.35"
"National Average Price","2021 April","Petrol - unleaded per litre","Euro","1.46"
"National Average Price","2021 May","Diesel per litre","Euro","1.364"
"National Average Price","2021 May","Petrol - unleaded per litre","Euro","1.475"
"National Average Price","2021 June","Diesel per litre","Euro","1.389"
"National Average Price","2021 June","Petrol - unleaded per litre","Euro","1.493"
"National Average Price","2021 July","Diesel per litre","Euro","1.429"
"National Average Price","2021 July","Petrol - unleaded per litre","Euro","1.536"
"National Average Price","2021 August","Diesel per litre","Euro","1.432"
"National Average Price","2021 August","Petrol - unleaded per litre","Euro","1.545"
"National Average Price","2021 September","Diesel per litre","Euro","1.449"
"National Average Price","2021 September","Petrol - unleaded per litre","Euro","1.563"
"National Average Price","2021 October","Diesel per litre","Euro","1.558"
"National Average Price","2021 October","Petrol - unleaded per litre","Euro","1.654"
"National Average Price","2021 November","Diesel per litre","Euro","1.614"
"National Average Price","2021 November","Petrol - unleaded per litre","Euro","1.716"
"National Average Price","2021 December","Diesel per litre","Euro","1.604"
"National Average Price","2021 December","Petrol - unleaded per litre","Euro","1.69"
"National Average Price","2022 January","Diesel per litre","Euro","1.603"
"National Average Price","2022 January","Petrol - unleaded per litre","Euro","1.702"
"National Average Price","2022 February","Diesel per litre","Euro","1.658"
"National Average Price","2022 February","Petrol - unleaded per litre","Euro","1.754"
"National Average Price","2022 March","Diesel per litre","Euro","1.945"
